Tag Number,Site,Plot,Species,Surv1,Surv2,Surv3,Surv4,Repr1,Repr2,Repr3,Repr4,Notes,Date:,Date:,Date:,Date:,
34,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: getting ready to flower,4/10/2024,5/29,8/7/2024,10/22/2024,
35,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
36,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
37,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
38,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
39,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
40,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,10/22: wilting,4/10/2024,5/29,8/7/2024,10/22/2024,
41,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,Y,"10/22: had flower, but whole plant dead now",4/10/2024,5/29,8/7/2024,10/22/2024,
42,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
43,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
44,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
45,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
46,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
47,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
48,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
49,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
50,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
51,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered,4/10/2024,5/29,8/7/2024,10/22/2024,
52,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,Y,10/22: flowered but flower eaten,4/10/2024,5/29,8/7/2024,10/22/2024,
53,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
54,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
55,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
56,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
57,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
58,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
59,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
60,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
61,15_05,1,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
62,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
63,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
64,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
65,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
66,15_05,1,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
67,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
68,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
69,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
70,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
71,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
72,15_05,1,Andropogon glomeratus,1,0,0,0,N,N,N,N,brown stalks only,4/10/2024,5/29,8/7/2024,10/22/2024,
73,15_05,1,Andropogon glomeratus,1,0,0,0,N,N,N,N,brown stalks only,4/10/2024,5/29,8/7/2024,10/22/2024,
74,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
75,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
76,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
77,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
78,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
79,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
80,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
81,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
82,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
83,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
84,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
85,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
86,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
87,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
88,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
89,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
90,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
91,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
92,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
93,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
94,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
95,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
96,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
97,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,look rough,4/10/2024,5/29,8/7/2024,10/22/2024,
98,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,look rough,4/10/2024,5/29,8/7/2024,10/22/2024,
99,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,look rough,4/10/2024,5/29,8/7/2024,10/22/2024,
100,15_05,1,Andropogon glomeratus,1,1,0,0,N,N,N,N,look rough,4/10/2024,5/29,8/7/2024,10/22/2024,
101,15_05,1,Liatris spicata,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
102,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
103,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
104,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
105,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
106,15_05,1,Liatris spicata,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
107,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
108,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
109,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
110,15_05,1,Liatris spicata,1,1,1,1,N,N,N,N,This Liatris has taken off,4/10/2024,5/29,8/7/2024,10/22/2024,
111,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
112,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
113,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
114,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
115,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
116,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
117,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
118,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
119,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
120,15_05,1,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
121,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,barely hanging in there,4/10/2024,5/29,8/7/2024,10/22/2024,
122,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
123,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
124,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
125,15_05,1,Rhynchospora latifolia,1,1,1,0,N,N,N,N,barely hanging in there,4/10/2024,5/29,8/7/2024,10/22/2024,
126,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
127,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
128,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
129,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
130,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
131,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
132,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
133,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
134,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
135,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
136,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely hanging in there,4/10/2024,5/29,8/7/2024,10/22/2024,
137,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely hanging in there,4/10/2024,5/29,8/7/2024,10/22/2024,
138,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
139,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
140,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
141,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
142,15_05,1,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
143,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
144,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
145,15_05,1,Oxypolis rigidior,1,0,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
146,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
147,15_05,1,Oxypolis rigidior,0,0,0,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
148,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
149,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
150,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
151,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
152,15_05,1,Rhynchospora latifolia,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
153,15_05,1,Rhynchospora latifolia,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
154,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
155,15_05,1,Rhynchospora latifolia,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
156,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
157,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
158,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
159,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
160,15_05,1,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely hanging in there,4/10/2024,5/29,8/7/2024,10/22/2024,
161,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
162,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
163,15_05,1,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
164,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
165,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
166,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
167,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
168,15_05,1,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
169,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
170,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
171,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
172,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
173,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
174,15_05,1,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
175,15_05,1,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
176,15_05,1,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
177,15_05,1,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
178,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
179,15_05,1,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
180,15_05,1,Oxypolis rigidior,1,1,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
181,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,*oxypolis in this plot really long and spindly,4/10/2024,5/29,8/7/2024,10/22/2024,
182,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
183,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
184,15_05,2,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
185,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
186,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
187,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
188,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
189,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
190,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
191,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
192,15_05,2,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
193,15_05,2,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
194,15_05,2,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
195,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
196,15_05,2,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
197,15_05,2,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
198,15_05,2,Oxypolis rigidior,1,1,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
199,15_05,2,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
200,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
201,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
202,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
203,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
204,15_05,2,Rhynchospora latifolia,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
205,15_05,2,Rhynchospora latifolia,1,1,1,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
206,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
207,15_05,2,Rhynchospora latifolia,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
208,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
209,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
210,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
211,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
212,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
213,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
214,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
215,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,"barely alive -1; might be dead, mostly green stem, no leaf- 2",4/10/2024,5/29,8/7/2024,10/22/2024,
216,15_05,2,Oxypolis rigidior,0,1,1,1,N,N,N,N,gone,4/10/2024,5/29,8/7/2024,10/22/2024,
217,15_05,2,Oxypolis rigidior,1,1,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
218,15_05,2,Oxypolis rigidior,0,1,1,1,N,N,N,N,gone,4/10/2024,5/29,8/7/2024,10/22/2024,
219,15_05,2,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
220,15_05,2,Oxypolis rigidior,0,1,1,1,N,N,N,N,gone,4/10/2024,5/29,8/7/2024,10/22/2024,
